CFBname,ESPNname
Air Force,Air Force Falcons
Akron,Akron Zips
Alabama,Alabama Crimson Tide
Appalachian State,Appalachian State Mountaineers
Arizona,Arizona Wildcats
Arizona State,Arizona State Sun Devils
Arkansas,Arkansas Razorbacks
Arkansas State,Arkansas State Red Wolves
Army,Army Black Knights
Auburn,Auburn Tigers
BYU,BYU Cougars
Ball State,Ball State Cardinals
Baylor,Baylor Bears
Boise State,Boise State Broncos
Boston College,Boston College Eagles
Bowling Green,Bowling Green Falcons
Buffalo,Buffalo Bulls
California,California Golden Bears
Central Michigan,Central Michigan Chippewas
Charlotte,Charlotte 49ers
Cincinnati,Cincinnati Bearcats
Clemson,Clemson Tigers
Coastal Carolina,Coastal Carolina Chanticleers
Colorado,Colorado Buffaloes
Colorado State,Colorado State Rams
Connecticut,UConn Huskies
Duke,Duke Blue Devils
East Carolina,East Carolina Pirates
Eastern Michigan,Eastern Michigan Eagles
Florida,Florida Gators
Florida Atlantic,Florida Atlantic Owls
Florida International,Florida International Panthers
Florida State,Florida State Seminoles
Fresno State,Fresno State Bulldogs
Georgia,Georgia Bulldogs
Georgia Southern,Georgia Southern Eagles
Georgia State,Georgia State Panthers
Georgia Tech,Georgia Tech Yellow Jackets
Hawai'i,Hawai'i Rainbow Warriors
Houston,Houston Cougars
Illinois,Illinois Fighting Illini
Indiana,Indiana Hoosiers
Iowa,Iowa Hawkeyes
Iowa State,Iowa State Cyclones
James Madison,James Madison Dukes
Kansas,Kansas Jayhawks
Kansas State,Kansas State Wildcats
Kent State,Kent State Golden Flashes
Kentucky,Kentucky Wildcats
LSU,LSU Tigers
Liberty,Liberty Flames
Louisiana,Louisiana Ragin' Cajuns
Louisiana Monroe,UL Monroe Warhawks
Louisiana Tech,Louisiana Tech Bulldogs
Louisville,Louisville Cardinals
Marshall,Marshall Thundering Herd
Maryland,Maryland Terrapins
Memphis,Memphis Tigers
Miami,Miami Hurricanes
Miami (OH),Miami (OH) RedHawks
Michigan,Michigan Wolverines
Michigan State,Michigan State Spartans
Middle Tennessee,Middle Tennessee Blue Raiders
Minnesota,Minnesota Golden Gophers
Mississippi State,Mississippi State Bulldogs
Missouri,Missouri Tigers
NC State,NC State Wolfpack
Navy,Navy Midshipmen
Nebraska,Nebraska Cornhuskers
Nevada,Nevada Wolf Pack
New Mexico,New Mexico Lobos
New Mexico State,New Mexico State Aggies
North Carolina,North Carolina Tar Heels
North Texas,North Texas Mean Green
Northern Illinois,Northern Illinois Huskies
Northwestern,Northwestern Wildcats
Notre Dame,Notre Dame Fighting Irish
Ohio,Ohio Bobcats
Ohio State,Ohio State Buckeyes
Oklahoma,Oklahoma Sooners
Oklahoma State,Oklahoma State Cowboys
Old Dominion,Old Dominion Monarchs
Ole Miss,Ole Miss Rebels
Oregon,Oregon Ducks
Oregon State,Oregon State Beavers
Penn State,Penn State Nittany Lions
Pittsburgh,Pittsburgh Panthers
Purdue,Purdue Boilermakers
Rice,Rice Owls
Rutgers,Rutgers Scarlet Knights
SMU,SMU Mustangs
San Diego State,San Diego State Aztecs
San José State,San José State Spartans
South Alabama,South Alabama Jaguars
South Carolina,South Carolina Gamecocks
South Florida,South Florida Bulls
Southern Mississippi,Southern Miss Golden Eagles
Stanford,Stanford Cardinal
Syracuse,Syracuse Orange
TCU,TCU Horned Frogs
Temple,Temple Owls
Tennessee,Tennessee Volunteers
Texas,Texas Longhorns
Texas A&M,Texas A&M Aggies
Texas State,Texas State Bobcats
Texas Tech,Texas Tech Red Raiders
Toledo,Toledo Rockets
Troy,Troy Trojans
Tulane,Tulane Green Wave
Tulsa,Tulsa Golden Hurricane
UAB,UAB Blazers
UCF,UCF Knights
UCLA,UCLA Bruins
UMass,UMass Minutemen
UNLV,UNLV Rebels
USC,USC Trojans
UT San Antonio,UTSA Roadrunners
UTEP,UTEP Miners
Utah,Utah Utes
Utah State,Utah State Aggies
Vanderbilt,Vanderbilt Commodores
Virginia,Virginia Cavaliers
Virginia Tech,Virginia Tech Hokies
Wake Forest,Wake Forest Demon Deacons
Washington,Washington Huskies
Washington State,Washington State Cougars
West Virginia,West Virginia Mountaineers
Western Kentucky,Western Kentucky Hilltoppers
Western Michigan,Western Michigan Broncos
Wisconsin,Wisconsin Badgers
